No.;Sentimen;Tweet
1;Negatif;b'@PrathumRyan @pranjaya_baguz @MightyWar3 Buset 500 Miliar USD, kalahin anggaran militer china+ikn\xf0\x9f\x99\x82'
2;Negatif;b'RT @Usuludin321: Bener juga yah kenapa sih maksain bangun IKN ada apa sebenarnya? https://t.co/KkwkbVkihA'
3;Negatif;b'RT @msaid_didu: Pddk 200.000 yg sebagian besar adalah ASN yg gajinya sdh habis utk cicilan rumah, kendaraan dan biaya anak sekolah shg ters\xe2\x80\xa6'
4;Negatif;b'RT @HendryanaLubis: @s1lverpegasus Dia pasti mendukung sapa yg bisa lanjutkan ikn yg dia idaman\n\n#Semangat114TurunkanJokowi \n#Semangat411Tu\xe2\x80\xa6'
5;Negatif;b'RT @Kimi58486332: IKN lebih penting dari entaskan Kemiskinan mas Joko @jokowi  ? Menggenaskan masse https://t.co/X6quciisrJ'
6;Negatif;b'RT @msaid_didu: Pddk 200.000 yg sebagian besar adalah ASN yg gajinya sdh habis utk cicilan rumah, kendaraan dan biaya anak sekolah shg ters\xe2\x80\xa6'
7;Negatif;b'RT @msaid_didu: Pddk 200.000 yg sebagian besar adalah ASN yg gajinya sdh habis utk cicilan rumah, kendaraan dan biaya anak sekolah shg ters\xe2\x80\xa6'
8;Negatif;b'RT @keuangannews_id: IKN- Presiden Sudah Berada di Jalan Buntu! https://t.co/gejEF0zanh'
9;Positif;b'@Joane24641240 IKN memberikan dampak Positifbagi kemajuan bangsa Indonesia\n#KotaDuniaUntukSemua\xe2\x80\xa6 https://t.co/bq6vEWdymW'
10;Negatif;b'@Midjan_La_2 Gak ada demo lagi. Bohirnya memikirkan untuk tempat tinggal ibukota IKN, biar bisa demo lagi.\xf0\x9f\x98\xa5'
11;Positif;b'RT @Joane24641240: IKN Akan Jadi Representasi Bangsa Yang Unggul\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\n#IKNPemerataanEkonomi\n#IKNt\xe2\x80\xa6'
12;Negatif;b'RT @guzel_amare: ya iyalah ... twitter mah sudah kliatan , nah IKN visi misi nya saja investor blm tahu ... mau bp sbg markreting pun , klo\xe2\x80\xa6'
13;Positif;b'@Joane24641240 IKN akan jadi kota ber-kelas internasional!'
14;Positif;b'RT @Joane24641240: IKN Akan Jadi Representasi Bangsa Yang Unggul\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\n#IKNPemerataanEkonomi\n#IKNt\xe2\x80\xa6'
15;Negatif;b'RT @keuangannews_id: IKN- Presiden Sudah Berada di Jalan Buntu! https://t.co/gejEF0zanh'
16;Negatif;b'@CNNIndonesia Pada ngebet pindah IKN para pejabat ..silahkan aja pakai uang hasil korupsi kalo ditindak serius pasti bisa'
17;Positif;b'Mendukung dan mengawal terus pemindahan ibukota di IKN Nusantara\n\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/mBUaf1s4w2'
18;Negatif;b'RT @Kimi58486332: IKN lebih penting dari entaskan Kemiskinan mas Joko @jokowi  ? Menggenaskan masse https://t.co/X6quciisrJ'
19;Negatif;b'@teguhsd IKN... Ih Ko Ngeyel'
20;Negatif;b'@msaid_didu Gimana ngitungnya 200 rb warga mau tinggal di IKN... Ngimpi kok keterlaluan'
21;Negatif;b'RT @RagilSemar: Diawali dari konsep pendanaan IKN yang menjadikan pemerintah sebagai penyewa di sana. \nTentu ini akal2an oligarki.\nOligarki\xe2\x80\xa6'
22;Positif;b'@BergetarNusa @maryshelparaiso Membuka lapangan kerja baru masyarakat Jawa Timur mendukung IKN Nusantara\xe2\x80\xa6 https://t.co/ihe6prGiOz'
23;Positif;b'IKN untuk kesejahteraan rakyat\n\xe2\x9d\xa4\xef\xb8\x8f Aceh Hadir Mendukung\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/8jOC37Bkyr'
24;Positif;b'@Joane24641240 IKN untuk kesejahteraan rakyat\n\xe2\x9d\xa4\xef\xb8\x8f Aceh Hadir Mendukung\n#KotaDuniaUntukSemua\xe2\x80\xa6 https://t.co/GoP2eUOSWK'
25;Negatif;b'@OposisiCerdas Lebih baik utk gubernur ikn'
26;Negatif;b'RT @msaid_didu: Pddk 200.000 yg sebagian besar adalah ASN yg gajinya sdh habis utk cicilan rumah, kendaraan dan biaya anak sekolah shg ters\xe2\x80\xa6'
27;Negatif;b'RT @alfajri221810: Lebih untung INVEST Twitter dari IKN \xf0\x9f\x98\x82 https://t.co/gizKAkU67Q'
28;Negatif;b'RT @IrmansyahAdhy: DULU JUALAN ESEMKA..SKRG JUALAN IKN...\nSEBENARX CEBONG ITU KEMARIN PILIH PRESIDEN ATAU MAKELAR SIH..? \xf0\x9f\xa4\x94....\n\n#JokowiAnte\xe2\x80\xa6'
29;Positif;b'@FGelael @maryshelparaiso IKN smart city siap bersaing, Jawa Timur dukung terus #KotaDuniaUntukSemua\xe2\x80\xa6 https://t.co/eU7YeVAhvv'
30;Negatif;b'RT @DokterTifa: Sudah tahu akan ada Badai Besar. Dunia akan gelap. Resesi dahsyat. Rawan pangan hebat. \n\nKenapa masih ngotot bangun IKN? ht\xe2\x80\xa6'
